Pessimistic Strategy with Heuristic
5 Voters 5 Alternatives 
30 Questions for 10 runs 
Mean of Regret reduced by half in 18 questions 
Mean of Regret reduced by four in 23 questions 
Mean of Regret reduced by eight in 28 questions 
Mean of Average Loss reduced by half in 4 questions 
Mean of Average Loss reduced by four in 9 questions 
Mean of Average Loss reduced by eight in 25 questions 
k 	 Mean of Regrets 
0 	5.0
1	5.0
2	4.999999699999999
3	4.999998799999999
4	4.324998625000001
5	3.9583321583333335
6	3.933332041666667
7	3.8999990999999996
8	3.5766653466666667
9	3.391665591666667
10	3.3583323833333334
11	3.2749990999999996
12	3.058332083333333
13	3.05090793
14	3.010832348333333
15	2.605279671515151
16	2.509626139254079
17	2.5712270714035084
18	2.1365676624509806
19	2.047889789749104
20	1.8616657849999996
21	1.6995624770955007
22	1.7452620528947367
23	1.0532809937580434
24	1.1083511252747251
25	1.081362309879794
26	1.0178154129139825
27	1.1716793987618264
28	0.545980577041847
29	0.5801229128598596
30	0.708022526095083
k 	 Mean of Average Losses 
0 	1.2348975660530581
1	1.2348975660530581
2	0.6712818172123844
3	0.8061802728545985
4	0.38513191114985795
5	0.788607944438847
6	0.4250893035867393
7	0.6006468694055749
8	0.43928791818905144
9	0.18690741648113363
10	0.5773532589814137
11	0.3917903110991074
12	0.35694619049233334
13	0.7765773126390303
14	0.7341887855196053
15	0.269184354626796
16	0.5581005533319395
17	0.818196284370474
18	0.36019971253317906
19	0.45363847437505966
20	0.18626056805923263
21	0.17069608110853246
22	0.38885339077560044
23	0.19295714764674224
24	0.2572244583758196
25	0.01820788720410507
26	0.13587174870070864
27	0.3247144491277719
28	0.00187559545951137
29	0.1413332317188416
30	0.11937880510221212
k 	 Standard Deviations of Regrets 
1	0.0
2	4.5825756965977683E-7
3	1.4696938455451151E-6
4	0.5814852803386475
5	0.46285687207602677
6	0.3887304067947015
7	0.3851410823759564
8	0.23120467257891622
9	0.11814526898455957
10	0.4049175502495817
11	0.4744147599354223
12	0.562793003934786
13	0.42686570636790777
14	0.4670543892407557
15	0.38984579150033233
16	0.7217745465690028
17	0.5841369817621507
18	0.6708903732333232
19	0.6555679262655337
20	0.2832398400954797
21	0.5648887643786956
22	0.5889704721943136
23	0.4035881553796596
24	0.7499403893773945
25	0.42666756302437886
26	0.570962255944742
27	0.8565879925142074
28	0.5651127444875701
29	0.4823681837949515
30	0.5285530138356285
k 	 Standard Deviations of Average Losses 
1	0.0
2	4.5825756965977683E-7
3	1.4696938455451151E-6
4	0.5814852803386475
5	0.46285687207602677
6	0.3887304067947015
7	0.3851410823759564
8	0.23120467257891622
9	0.11814526898455957
10	0.4049175502495817
11	0.4744147599354223
12	0.562793003934786
13	0.42686570636790777
14	0.4670543892407557
15	0.38984579150033233
16	0.7217745465690028
17	0.5841369817621507
18	0.6708903732333232
19	0.6555679262655337
20	0.2832398400954797
21	0.5648887643786956
22	0.5889704721943136
23	0.4035881553796596
24	0.7499403893773945
25	0.42666756302437886
26	0.570962255944742
27	0.8565879925142074
28	0.5651127444875701
29	0.4823681837949515
30	0.5285530138356285
k 	 Percentage of Questions to the Voters 
1	100.0%
2	85.0%
3	76.7%
4	92.5%
5	92.0%
6	85.0%
7	85.7%
8	87.5%
9	88.9%
10	94.0%
11	88.2%
12	91.7%
13	85.4%
14	81.4%
15	86.7%
16	81.9%
17	82.4%
18	82.8%
19	84.2%
20	87.0%
21	81.0%
22	86.8%
23	84.3%
24	82.5%
25	80.4%
26	83.1%
27	84.1%
28	85.0%
29	82.2%
30	82.0%
