i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
1,1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=2}}"
2,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{25}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=2}}"
3,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=3}}"
4,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=2, b=4}}",1,"Question{QuestionVoter{voter=Voter{24}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=4}}"
5,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=2, b=5}}",1,"Question{QuestionVoter{voter=Voter{24}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=5}}"
6,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{24}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=6}}"
7,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{24}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=7}}"
8,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=8}}"
9,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=9}}"
10,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{12}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=11}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=11}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=10}}"
