i,qV(1)/qC(0),Run 1 of 25,qV(1)/qC(0),Run 2 of 25,qV(1)/qC(0),Run 3 of 25,qV(1)/qC(0),Run 4 of 25,qV(1)/qC(0),Run 5 of 25,qV(1)/qC(0),Run 6 of 25,qV(1)/qC(0),Run 7 of 25,qV(1)/qC(0),Run 8 of 25,qV(1)/qC(0),Run 9 of 25,qV(1)/qC(0),Run 10 of 25,qV(1)/qC(0),Run 11 of 25,qV(1)/qC(0),Run 12 of 25,qV(1)/qC(0),Run 13 of 25,qV(1)/qC(0),Run 14 of 25,qV(1)/qC(0),Run 15 of 25,qV(1)/qC(0),Run 16 of 25,qV(1)/qC(0),Run 17 of 25,qV(1)/qC(0),Run 18 of 25,qV(1)/qC(0),Run 19 of 25,qV(1)/qC(0),Run 20 of 25,qV(1)/qC(0),Run 21 of 25,qV(1)/qC(0),Run 22 of 25,qV(1)/qC(0),Run 23 of 25,qV(1)/qC(0),Run 24 of 25,qV(1)/qC(0),Run 25 of 25
1,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{9}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=2}},0,Question{QuestionCommittee{λ=21/2- rank=1}},1,Question{QuestionVoter{voter=Voter{2}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{6}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{6}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{17}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=2}},0,Question{QuestionCommittee{λ=21/2- rank=1}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{7}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=2}}
2,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{18}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{17}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{19}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=3}}
3,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{6}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{17}- a=3- b=4}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=4}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=4}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=4}}
4,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{20}- a=3- b=4}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{11}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{17}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{8}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=5}}
5,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{20}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{3}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{11}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{20}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=4}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{17}- a=5- b=6}},1,Question{QuestionVoter{voter=Voter{8}- a=4- b=6}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=6}}
6,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=4}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{20}- a=5- b=6}},1,Question{QuestionVoter{voter=Voter{3}- a=5- b=6}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{18}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=6}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{20}- a=4- b=6}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{17}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{8}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=7}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=7}}
7,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=5}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{20}- a=5- b=7}},1,Question{QuestionVoter{voter=Voter{3}- a=5- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=4}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=7}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{20}- a=4- b=7}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{17}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{8}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{14}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=8}}
8,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{10}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{20}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{3}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=5}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{16}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{20}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=7}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{17}- a=6- b=9}},1,Question{QuestionVoter{voter=Voter{8}- a=8- b=9}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{14}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=9}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=9}}
9,1,Question{QuestionVoter{voter=Voter{9}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=7}},1,Question{QuestionVoter{voter=Voter{10}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{20}- a=5- b=9}},1,Question{QuestionVoter{voter=Voter{3}- a=7- b=9}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{16}- a=6- b=9}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=9}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{20}- a=7- b=9}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=9}},1,Question{QuestionVoter{voter=Voter{1}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{17}- a=9- b=10}},1,Question{QuestionVoter{voter=Voter{8}- a=8- b=10}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=9}},1,Question{QuestionVoter{voter=Voter{14}- a=6- b=9}},1,Question{QuestionVoter{voter=Voter{12}- a=9- b=10}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=10}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=10}}
10,1,Question{QuestionVoter{voter=Voter{16}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{13}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{10}- a=6- b=9}},1,Question{QuestionVoter{voter=Voter{20}- a=9- b=10}},1,Question{QuestionVoter{voter=Voter{3}- a=7- b=10}},1,Question{QuestionVoter{voter=Voter{13}- a=2- b=7}},1,Question{QuestionVoter{voter=Voter{3}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{16}- a=6- b=10}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=10}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{20}- a=9- b=10}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=10}},1,Question{QuestionVoter{voter=Voter{1}- a=7- b=9}},1,Question{QuestionVoter{voter=Voter{15}- a=10- b=1}},1,Question{QuestionVoter{voter=Voter{2}- a=9- b=6}},1,Question{QuestionVoter{voter=Voter{7}- a=8- b=6}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{17}- a=10- b=1}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{3}- a=6- b=10}},1,Question{QuestionVoter{voter=Voter{14}- a=6- b=10}},1,Question{QuestionVoter{voter=Voter{20}- a=9- b=1}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=1}},1,Question{QuestionVoter{voter=Voter{14}- a=3- b=1}}
