i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
1,1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=2}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=2}}"
2,0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=3}}"
3,1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{23}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=4}}"
4,1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{23}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{22}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=5}}"
5,1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{22}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=6}}"
6,1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{22}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=7}}"
7,1,"Question{QuestionVoter{voter=Voter{8}, a=2, b=4}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{22}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{12}, a=7, b=8}}"
8,1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{22}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=7, b=9}}"
9,1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{24}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=6}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{22}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=7, b=10}}"
10,1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=9, b=1}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{10}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{2}, a=7, b=3}}"
