i,qV(1)/qC(0),Run 1 of 1
1,0,"Question{QuestionCommittee{λ=21/2, rank=4}}"
2,0,"Question{QuestionCommittee{λ=21/2, rank=6}}"
3,0,"Question{QuestionCommittee{λ=21/2, rank=3}}"
4,0,"Question{QuestionCommittee{λ=21/2, rank=1}}"
5,0,"Question{QuestionCommittee{λ=21/2, rank=5}}"
6,0,"Question{QuestionCommittee{λ=21/2, rank=8}}"
7,0,"Question{QuestionCommittee{λ=23/4, rank=6}}"
8,0,"Question{QuestionCommittee{λ=21/2, rank=2}}"
9,0,"Question{QuestionCommittee{λ=23/4, rank=1}}"
10,0,"Question{QuestionCommittee{λ=27/8, rank=6}}"
11,0,"Question{QuestionCommittee{λ=21/2, rank=7}}"
12,0,"Question{QuestionCommittee{λ=23/4, rank=5}}"
13,0,"Question{QuestionCommittee{λ=27/8, rank=5}}"
14,0,"Question{QuestionCommittee{λ=27/8, rank=1}}"
15,0,"Question{QuestionCommittee{λ=23/4, rank=2}}"
16,0,"Question{QuestionCommittee{λ=23/4, rank=8}}"
17,0,"Question{QuestionCommittee{λ=23/4, rank=3}}"
18,0,"Question{QuestionCommittee{λ=23/4, rank=4}}"
19,0,"Question{QuestionCommittee{λ=35/16, rank=5}}"
20,0,"Question{QuestionCommittee{λ=51/32, rank=5}}"
21,0,"Question{QuestionCommittee{λ=27/8, rank=4}}"
22,0,"Question{QuestionCommittee{λ=83/64, rank=5}}"
23,0,"Question{QuestionCommittee{λ=147/128, rank=5}}"
24,0,"Question{QuestionCommittee{λ=35/16, rank=6}}"
25,0,"Question{QuestionCommittee{λ=51/32, rank=6}}"
26,0,"Question{QuestionCommittee{λ=35/16, rank=4}}"
27,0,"Question{QuestionCommittee{λ=275/256, rank=5}}"
28,0,"Question{QuestionCommittee{λ=51/32, rank=4}}"
29,0,"Question{QuestionCommittee{λ=27/8, rank=3}}"
30,0,"Question{QuestionCommittee{λ=27/8, rank=2}}"
31,0,"Question{QuestionCommittee{λ=35/16, rank=1}}"
32,0,"Question{QuestionCommittee{λ=35/16, rank=3}}"
33,0,"Question{QuestionCommittee{λ=35/16, rank=2}}"
34,0,"Question{QuestionCommittee{λ=51/32, rank=2}}"
35,0,"Question{QuestionCommittee{λ=83/64, rank=4}}"
36,0,"Question{QuestionCommittee{λ=51/32, rank=1}}"
37,0,"Question{QuestionCommittee{λ=23/4, rank=7}}"
38,0,"Question{QuestionCommittee{λ=51/32, rank=3}}"
39,0,"Question{QuestionCommittee{λ=531/512, rank=5}}"
40,0,"Question{QuestionCommittee{λ=27/8, rank=8}}"
41,0,"Question{QuestionCommittee{λ=35/16, rank=8}}"
42,0,"Question{QuestionCommittee{λ=27/8, rank=7}}"
43,0,"Question{QuestionCommittee{λ=83/64, rank=6}}"
44,0,"Question{QuestionCommittee{λ=51/32, rank=8}}"
45,0,"Question{QuestionCommittee{λ=35/16, rank=7}}"
46,0,"Question{QuestionCommittee{λ=83/64, rank=2}}"
47,0,"Question{QuestionCommittee{λ=185/128, rank=2}}"
